Type	Experiment	Weighted_Copy	Sporulation	Resuscitation	Toxins
NA	Harvard	3.053520314	20	1	537
NA	Harvard	3.054001078	20	1	542
NA	Harvard	3.085074119	20	1	560
NA	Harvard	3.098713739	21	1	563
NA	Fire	3.1	21	1	587
NA	Fire	3.1	21	1	592
NA	Harvard	3.109342931	21	1	593
NA	Harvard	3.113337439	21	1	609
NA	Fire	3.1	21	2	623
NA	Fire	3.1	22	2	641
NA	Fire	3.1	22	2	644
NA	Harvard	3.168837708	22	2	677
NA	Harvard	3.171632701	22	2	682
NA	Harvard	3.191177805	23	2	684
NA	Harvard	3.291034102	23	2	699
NA	Fire	3.3	23	2	714
NA	Fire	3.4	24	2	717
NA	Harvard	3.388722521	24	2	722
NA	Centralia	3.398625582	24	2	739
NA	Centralia	3.398625582	25	2	739
NA	Centralia	3.398625582	25	2	760
NA	Fire	3.4	25	2	763
NA	Fire	3.5	25	3	777
NA	Fire	3.6	26	4	790
NA	Fire	3.6	26	4	801
NA	Fire	3.6	26	4	802
NA	Fire	3.7	26	4	809
NA	Fire	3.9	26	4	810
NA	Fire	4.0	27	4	824
NA	Fire	4.1	27	7	826
NA	Fire	4.1	28	8	828
NA	Centralia	4.111177064	29	8	883
NA	Centralia	4.111177064	29	12	909
NA	Centralia	4.111177064	29	12	910
NA	Culture	4.400641026	29	12	959
NA	Fire	4.4	30	18	1021
NA	Fire	4.4	30	19	1149
NA	Fire	4.5	30	55	87054.5
NA	Fire	4.5	31	90	87054.5
NA	Culture	4.634441088	31	255	94901
NA	Fire	4.7	32	309	94901
NA	Fire	4.8	32	348	99597.5
NA	Fire	4.8	33	348	112226.5
NA	Fire	4.8	34	348	132036
NA	Fire	4.8	35	352.935	155091
NA	Fire	4.9	35	356.5	161683
NA	Culture	4.921686747	35	401	162416
NA	Fire	5.0	35	410	174109
NA	Fire	5.0	35	410	174109
NA	Culture	4.996923077	35	410	174109
NA	Fire	5.2	36	417	174109
NA	Culture	5.214559387	37	417	174109
NA	Culture	5.288	37	417	174109
NA	Fire	5.3	38	430	174109
NA	Culture	5.319767442	39	452	185827
NA	Fire	5.3	39	452	199195
NA	Culture	5.442379182	39	452	199195
NA	Culture	5.446428571	40	471	199195
NA	Culture	5.455497382	40	485.0049254	199195
NA	Culture	5.490494297	42	489.9039651	199195
NA	Culture	5.490909091	42	494.85249	199195
NA	Culture	5.55163728	43	499.851	208762
NA	Culture	5.564516129	43	504.9	219641
NA	Culture	5.569721116	48	510	220772
NA	Culture	5.576530612	48	513	224453
NA	Culture	5.593155894	48	513	224453
NA	Fire	5.6	48	530	224453
NA	Culture	5.632142857	48	530	224453
NA	Culture	5.670184697	50	530	235296
NA	Culture	5.693333333	52	536	235296
NA	Fire	5.7	52	541	237076
NA	Fire	5.7	52	560	237489
NA	Culture	5.788461538	52	560	237489
NA	Culture	5.795986622	55	560	237489
NA	Culture	5.805668016	55	560	237489
NA	Culture	5.81741573	59	564	237698
NA	Culture	5.942307692	60	564	266335
NA	Culture	5.95	61	564	268386
NA	Fire	6.0	61	636.57	294748.5
NA	Culture	5.986486486	61	643	294748.5
NA	Culture	5.996428571	61	644	303342
NA	Centralia	6.001697839	61.5	644	303703
NA	Centralia	6.001697839	64	644	303703
NA	Centralia	6.001697839	66	664.785	303703
NA	Culture	6.06741573	66	671.2753465	304509
NA	Fire	6.1	66	671.5	304509
NA	Culture	6.084656085	68	678.0559056	316964
NA	Culture	6.155555556	70	684.9049551	316964
NA	Fire	6.2	73	691.823187	316964
Reference	Fire	6.2	82	698.8113	323217
Reference	Culture	6.217391304	84	705.87	323217
Reference	Culture	6.245454545	89	709	323217
Reference	Culture	6.342281879	93	713	352402
Reference	Culture	6.412903226	100	744	352402
Reference	Culture	6.42	100	763	352402
Reference	Culture	6.4375	106	763	354386
Reference	Culture	6.458536585	106	763	358839
